"","name","alignment","gender","race","eye","hair","height_cm","weight_kg","publisher"
"1","A-Bomb","good","Male","Human","yellow/gold","No Hair",203,441,"Marvel Comics"
"3","Abin Sur","good","Male","Extraterrestrials","blue","No Hair",185,90,"DC Comics"
"4","Abomination","bad","Male","Human","green","No Hair",203,441,"Marvel Comics"
"5","Abraxas","bad","Male","God/Demi-God/CosmicEntity/Planet","blue","Burnette",NA,NA,"Marvel Comics"
"6","Absorbing Man","bad","Male","Human","blue","No Hair",193,122,"Marvel Comics"
"8","Adam Strange","good","Male","Human","blue","Blond",185,88,"DC Comics"
"9","Agent 13","good","Female",NA,"blue","Blond",173,61,"Marvel Comics"
"10","Agent Bob","good","Male","Human","brown","Burnette",178,81,"Marvel Comics"
"11","Agent Zero","good","Male",NA,NA,NA,191,104,"Marvel Comics"
"12","Air-Walker","bad","Male",NA,"blue","White",188,108,"Marvel Comics"
"13","Ajax","bad","Male","Android/Cyborg","brown","Burnette",193,90,"Marvel Comics"
"14","Alan Scott","good","Male",NA,"blue","Blond",180,90,"DC Comics"
"17","Alfred Pennyworth","good","Male","Human","blue","Burnette",178,72,"DC Comics"
"20","Amazo","bad","Male","Android/Cyborg","red",NA,257,173,"DC Comics"
"21","Ammo","bad","Male","Human","brown","Burnette",188,101,"Marvel Comics"
"23","Angel","good","Male",NA,"blue","Blond",183,68,"Marvel Comics"
"25","Angel Dust","good","Female","Human","yellow/gold","Burnette",165,57,"Marvel Comics"
"26","Angel Salvadore","good","Female",NA,"brown","Burnette",163,54,"Marvel Comics"
"28","Animal Man","good","Male","Human","blue","Blond",183,83,"DC Comics"
"29","Annihilus","bad","Male",NA,"green","No Hair",180,90,"Marvel Comics"
"30","Ant-Man","good","Male","Human","blue","Blond",211,122,"Marvel Comics"
"31","Ant-Man II","good","Male","Human","blue","Blond",183,86,"Marvel Comics"
"32","Anti-Monitor","bad","Male","God/Demi-God/CosmicEntity/Planet","yellow/gold","No Hair",61,NA,"DC Comics"
"34","Anti-Venom","neutral","Male","Extraterrestrials","blue","Blond",229,358,"Marvel Comics"
"35","Apocalypse","bad","Male","Human","red","Burnette",213,135,"Marvel Comics"
"36","Aquababy","good","Male",NA,"blue","Blond",NA,NA,"DC Comics"
"37","Aqualad","good","Male","Amazon/Atlantean","blue","Burnette",178,106,"DC Comics"
"38","Aquaman","good","Male","Amazon/Atlantean","blue","Blond",185,146,"DC Comics"
"39","Arachne","good","Female","Human","blue","Blond",175,63,"Marvel Comics"
"40","Archangel","good","Male","Human","blue","Blond",183,68,"Marvel Comics"
"41","Arclight","bad","Female",NA,"purple","Purple",173,57,"Marvel Comics"
"42","Ardina","good","Female","Extraterrestrials","white","Orange",193,98,"Marvel Comics"
"43","Ares","good","Male",NA,"brown","Burnette",185,270,"Marvel Comics"
"44","Ariel","good","Female",NA,"purple","Pink",165,59,"Marvel Comics"
"45","Armor","good","Female",NA,"black","Burnette",163,50,"Marvel Comics"
"46","Arsenal","good","Male","Human",NA,NA,NA,NA,"DC Comics"
"48","Atlas","good","Male","Human","brown","Red",183,101,"Marvel Comics"
"49","Atlas","bad","Male","God/Demi-God/CosmicEntity/Planet","blue","Burnette",198,126,"DC Comics"
"50","Atom","good","Male",NA,"blue","Red",178,68,"DC Comics"
"51","Atom","good","Male",NA,NA,NA,NA,NA,"DC Comics"
"52","Atom Girl","good","Female",NA,"black","Burnette",168,54,"DC Comics"
"53","Atom II","good","Male","Human","brown","Red",183,81,"DC Comics"
"54","Atom III","good","Male",NA,NA,"Red",NA,NA,"DC Comics"
"55","Atom IV","good","Male",NA,"brown","Burnette",NA,72,"DC Comics"
"56","Aurora","good","Female","Human","blue","Burnette",180,63,"Marvel Comics"
"57","Azazel","bad","Male","Demon","yellow/gold","Burnette",183,67,"Marvel Comics"
"58","Azrael","good","Male","Human","brown","Burnette",NA,NA,"DC Comics"
"59","Aztar","good","Male",NA,NA,NA,NA,NA,"DC Comics"
"60","Bane","bad","Male","Human",NA,NA,203,180,"DC Comics"
"61","Banshee","good","Male","Human","green","Blond",183,77,"Marvel Comics"
"62","Bantam","good","Male",NA,"brown","Burnette",165,54,"Marvel Comics"
"63","Batgirl","good","Female",NA,NA,NA,NA,NA,"DC Comics"
"64","Batgirl","good","Female","Human","green","Red",170,57,"DC Comics"
"65","Batgirl III","good","Female",NA,NA,NA,NA,NA,"DC Comics"
"66","Batgirl IV","good","Female","Human","green","Burnette",165,52,"DC Comics"
"67","Batgirl V","good","Female",NA,NA,NA,NA,NA,"DC Comics"
"68","Batgirl VI","good","Female",NA,"blue","Blond",168,61,"DC Comics"
"69","Batman","good","Male","Human","blue","Burnette",188,95,"DC Comics"
"70","Batman","good","Male","Human","blue","Burnette",178,77,"DC Comics"
"71","Batman II","good","Male","Human","blue","Burnette",178,79,"DC Comics"
"72","Battlestar","good","Male",NA,"brown","Burnette",198,133,"Marvel Comics"
"73","Batwoman V","good","Female","Human","green","Red",178,NA,"DC Comics"
"74","Beak","good","Male",NA,"black","White",175,63,"Marvel Comics"
"75","Beast","good","Male","Human","blue","Blue",180,181,"Marvel Comics"
"76","Beast Boy","good","Male","Human","green","Green",173,68,"DC Comics"
"77","Beetle","bad","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"78","Ben 10","good","Male",NA,NA,NA,NA,NA,"DC Comics"
"79","Beta Ray Bill","good","Male",NA,NA,"No Hair",201,216,"Marvel Comics"
"80","Beyonder","good","Male","God/Demi-God/CosmicEntity/Planet",NA,NA,NA,NA,"Marvel Comics"
"81","Big Barda","bad","Female","God/Demi-God/CosmicEntity/Planet","blue","Burnette",188,135,"DC Comics"
"83","Big Man","bad","Male",NA,"blue","Burnette",165,71,"Marvel Comics"
"86","Binary","good","Female",NA,"blue","Blond",180,54,"Marvel Comics"
"88","Bird-Brain","good",NA,NA,NA,NA,NA,NA,"Marvel Comics"
"89","Bird-Man","bad","Male","Human",NA,NA,NA,NA,"Marvel Comics"
"90","Bird-Man II","bad","Male","Human",NA,NA,NA,NA,"Marvel Comics"
"92","Bishop","good","Male","Human","brown","No Hair",198,124,"Marvel Comics"
"93","Bizarro","neutral","Male","Extraterrestrials","black","Burnette",191,155,"DC Comics"
"94","Black Abbott","bad","Male",NA,"red","Burnette",NA,NA,"Marvel Comics"
"95","Black Adam","bad","Male",NA,"brown","Burnette",191,113,"DC Comics"
"96","Black Bolt","good","Male","Human","blue","Burnette",188,95,"Marvel Comics"
"97","Black Canary","good","Female","Human","blue","Blond",165,58,"DC Comics"
"98","Black Canary","good","Female","Human","blue","Blond",170,59,"DC Comics"
"99","Black Cat","good","Female","Human","green","Blond",178,54,"Marvel Comics"
"100","Black Flash","neutral","Male","God/Demi-God/CosmicEntity/Planet",NA,NA,NA,NA,"DC Comics"
"101","Black Goliath","good","Male",NA,NA,NA,NA,NA,"Marvel Comics"
"102","Black Knight III","good","Male","Human","brown","Burnette",183,86,"Marvel Comics"
"103","Black Lightning","good","Male",NA,"brown","No Hair",185,90,"DC Comics"
"104","Black Mamba","bad","Female",NA,"green","Burnette",170,52,"Marvel Comics"
"105","Black Manta","bad","Male","Human","black","No Hair",188,92,"DC Comics"
"106","Black Panther","good","Male","Human","brown","Burnette",183,90,"Marvel Comics"
"107","Black Widow","good","Female","Human","green","Red",170,59,"Marvel Comics"
"108","Black Widow II","good","Female",NA,"blue","Blond",170,61,"Marvel Comics"
