,name,alignment,gender,race,eye,hair,height_cm,weight_kg,publisher
5,Abraxas,bad,male,diety,blue,mixed,NA,NA,marvel
9,Agent 13,good,female,human,blue,blond,173,61,marvel
11,Agent Zero,good,male,human,blue,burnette,191,104,marvel
12,Air-Walker,bad,male,alien,black,burnette,188,108,marvel
14,Alan Scott,good,male,human,blue,blond,180,90,dc
20,Amazo,bad,male,robot,red,no hair,257,173,dc
23,Angel,good,male,human,blue,blond,183,68,marvel
26,Angel Salvadore,good,female,human,brown,burnette,163,54,marvel
29,Annihilus,bad,male,alien,green,no hair,180,90,marvel
32,Anti-Monitor,bad,male,diety,yellow,no hair,61,NA,dc
41,Arclight,bad,female,human,purple,purple,173,57,marvel
43,Ares,good,male,diety,brown,burnette,185,270,marvel
44,Ariel,good,female,alien,purple,pink,165,59,marvel
45,Armor,good,female,human,black,burnette,163,50,marvel
46,Arsenal,good,male,human,purple,pink,165,59,dc
50,Atom,good,male,human,blue,ginger,178,68,dc
52,Atom Girl,good,female,human,black,burnette,168,54,dc
58,Azrael,good,male,human,brown,burnette,188,95,dc
59,Aztar,good,male,diety,white,no hair,NA,NA,dc
60,Bane,bad,male,human,brown,no hair,203,180,dc
62,Bantam,good,male,human,brown,burnette,165,54,marvel
63,Batgirl,good,female,human,green,ginger,170,57,dc
72,Battlestar,good,male,human,brown,burnette,198,133,marvel
73,Batwoman,good,female,human,green,ginger,178,66,dc
74,Beak,good,male,human,black,white,175,63,marvel
77,Beetle,bad,male,human,brown,burnette,180,79,marvel
78,Ben 10,good,male,human,green,burnette,NA,NA,dc
79,Beta Ray Bill,good,male,alien,brown,no hair,201,216,marvel
80,Beyonder,good,male,diety,mixed,mixed,NA,NA,marvel
83,Big Man,bad,male,human,blue,burnette,165,71,marvel
86,Binary,good,female,NA,blue,blond,180,54,marvel
88,Bird-Brain,good,other,mixed-race,red,no hair,183,57,marvel
89,Bird-Man,bad,male,human,NA,NA,NA,NA,marvel
94,Black Abbott,bad,male,human,red,no hair,NA,NA,marvel
95,Black Adam,bad,male,human,brown,burnette,191,113,dc
101,Black Goliath,good,male,human,brown,burnette,183,91,marvel
103,Black Lightning,good,male,human,brown,no hair,185,90,dc
104,Black Mamba,bad,female,human,green,burnette,170,52,marvel
108,Black Widow II,good,female,human,blue,blond,170,61,marvel
110,Blackwing,bad,male,human,blue,burnette,185,86,marvel
113,Blaquesmith,good,other,human,black,no hair,160,48,marvel
114,Bling!,good,female,human,silver,no hair,168,68,marvel
116,Blizzard,bad,male,human,brown,burnette,NA,NA,marvel
117,Blizzard I,bad,male,human,blue,blue,NA,NA,marvel
118,Blizzard II,bad,male,human,brown,burnette,175,77,marvel
119,Blob,bad,male,human,brown,burnette,178,230,marvel
121,Bloodhawk,good,male,human,black,no hair,NA,NA,marvel
122,Bloodwraith,bad,male,human,white,no hair,30.5,NA,marvel
123,Blue Beetle,good,male,human,blue,burnette,NA,NA,dc
125,Blue Beetle II,good,male,human,blue,burnette,183,86,dc
126,Blue Beetle III,good,male,human,brown,burnette,NA,NA,dc
128,Bolt,good,male,human,blue,burnette,188,100,marvel
131,Boomer,good,female,human,blue,blond,165,55,marvel
133,Box,good,male,human,blue,ginger,122,64,marvel
134,Box III,good,other,human,blue,blond,193,110,marvel
135,Box IV,good,other,human,brown,mixed,NA,NA,marvel
137,Brainiac 5,good,male,alien,green,blond,170,61,dc
143,Bumbleboy,good,male,human,brown,burnette,NA,NA,marvel
144,Bushido,good,male,human,black,burnette,170,66,dc
146,Callisto,bad,female,human,blue,burnette,175,74,marvel
148,Cannonball,good,male,human,blue,blond,183,81,marvel
155,Captain Mar-vell,good,male,alien,blue,blond,188,108,marvel
160,Captain Planet,good,male,diety,red,green,NA,NA,marvel
161,Captain Universe,good,other,diety,NA,NA,NA,NA,marvel
166,Cecilia Reyes,good,female,human,brown,burnette,170,62,marvel
168,Cerebra,good,female,human,yellow,no hair,NA,NA,marvel
170,Chameleon,bad,male,alien,black,no hair,175,61,dc
171,Changeling,bad,male,human,brown,burnette,180,81,marvel
179,Clea,good,other,mixed-race,blue,white,173,86,marvel
180,Cloak,good,male,human,brown,burnette,226,70,marvel
184,Colossal Boy,good,male,human,brown,burnette,188,91,dc
187,Corsair,good,male,human,brown,burnette,191,79,marvel
189,Crimson Crusader,good,male,mixed-race,blue,blond,152,50,marvel
190,Crimson Dynamo,good,male,mixed-race,brown,no hair,180,104,marvel
195,Cyborg Superman,bad,male,robot,blue,burnette,191,227,dc
197,Cypher,good,other,human,blue,blond,175,68,marvel
198,Dagger,good,female,human,blue,blond,165,52,marvel
218,Destroyer,bad,male,robot,red,no hair,188,383,marvel
223,Doctor Doom II,bad,male,human,brown,burnette,201,132,marvel
231,Doppelganger,bad,male,NA,white,no hair,196,104,marvel
232,Dormammu,bad,male,diety,NA,no hair,NA,NA,marvel
233,Dr Manhattan,good,male,mixed-race,white,no hair,196,NA,dc
235,Ego,bad,other,mixed-race,NA,no hair,NA,NA,marvel
